X;REGION;PUERTO;ANO_ARR;MES_ARR;DIA_ARR;HOR_ARR;EMBARC;FUNCION;RECURSO;PROCED;CAPTURA;DESTINO;HOR_BUC;N_BUZOS;LATITUD;LONGITUD;ESFUERZO;CPUE
49699;12;979;2016;7;11;845;614924;E;140;9841;8736;1;4800;1;-52.4342;-74.5177;48;182
49700;12;979;2016;8;31;700;613929;A;140;9841;8736;1;0;0;-52.4342;-74.5177;0;#¡DIV/0!
49701;12;979;2016;8;9;830;614607;E;140;8940;10920;1;4800;2;-50.75;-74.5;96;113.75
49704;12;979;2016;9;2;100;614835;E;140;9841;7644;1;3600;2;-52.4342;-74.5177;72;106.1666667
49709;12;979;2016;7;4;2000;614777;A;140;9833;21622;1;0;0;-49.8016;-75.1837;0;#¡DIV/0!
49710;12;979;2016;7;5;400;617905;A;140;9840;17472;1;0;0;-49.9686;-75.21710278;0;#¡DIV/0!
49712;12;979;2016;9;1;500;613632;E;140;9037;7644;1;0;1;-51.4676;-74.63459722;0;#¡DIV/0!
49713;12;979;2016;8;28;2330;615102;E;140;8819;9828;1;0;0;-51.2505;-75.08850833;0;#¡DIV/0!
49714;12;979;2016;7;8;1700;614700;E;140;9855;2774;1;0;1;-49.9352;-75.0334;0;#¡DIV/0!
49716;12;979;2016;7;15;1530;622210;E;140;9855;2796;1;3500;1;-49.9352;-75.0334;35;79.88571429
49717;12;979;2016;7;14;1753;622273;E;140;8290;655;1;800;1;-49.91666667;-74.93333333;8;81.875
49718;12;979;2016;8;10;1700;616978;E;140;0;7644;1;0;0;0;0;0;#¡DIV/0!
49719;12;979;2016;8;6;1700;613562;E;140;0;13104;1;0;0;0;0;0;#¡DIV/0!
49720;12;979;2016;8;20;1700;613632;E;140;0;10265;1;0;0;0;0;0;#¡DIV/0!
49721;12;979;2016;8;13;1700;614829;E;140;0;10920;1;0;0;0;0;0;#¡DIV/0!
49722;12;979;2016;8;24;1700;614856;E;140;0;6552;1;0;0;0;0;0;#¡DIV/0!
49723;12;979;2016;8;30;1700;614929;E;140;0;7644;1;0;0;0;0;0;#¡DIV/0!
49724;12;979;2016;8;18;1620;614776;E;140;8216;917;1;700;1;-50.05;-75.05;7;131
49725;12;979;2016;8;20;1500;622272;E;140;8216;459;1;500;1;-50.05;-75.05;5;91.8
49727;12;979;2016;7;8;645;614883;E;140;8780;7207;1;4800;1;-52.4843;-74.501;48;150.1458333
49728;12;979;2016;7;9;1700;615197;E;140;0;13104;1;0;0;0;0;0;#¡DIV/0!
49729;12;979;2016;7;20;1147;615170;E;140;0;13104;1;0;1;0;0;0;#¡DIV/0!
49730;12;979;2016;8;27;230;614777;A;140;9833;16817;1;0;0;-49.8016;-75.1837;0;#¡DIV/0!
51329;12;979;2016;6;10;2300;614861;E;140;9742;9828;1;0;1;-52.501;-74.167;0;#¡DIV/0!
51334;12;979;2016;4;14;700;613659;E;140;9841;4248;1;4800;1;-52.4342;-74.5177;48;88.5
51344;12;979;2016;5;5;300;613645;E;140;9842;10584;1;3130;2;-50.13333333;-75.28333333;63;168
51345;12;979;2016;5;8;1400;615305;E;140;9410;9408;1;2400;1;-51.525215;-74.05510556;24;392
51346;12;979;2016;6;11;1700;615197;E;140;0;7644;1;0;0;0;0;0;#¡DIV/0!
51351;12;979;2016;3;30;500;622262;E;140;9834;5220;1;600;2;-52.5344;-74.40080278;12;435
51358;12;979;2016;5;1;100;622257;E;140;9841;14112;1;3600;2;-52.4342;-74.5177;72;196
51359;12;979;2016;5;15;1700;613719;E;140;0;4704;1;0;0;0;0;0;#¡DIV/0!
51360;12;979;2016;5;28;1700;613791;E;140;0;9408;1;0;0;0;0;0;#¡DIV/0!
51361;12;979;2016;5;8;1700;614783;E;140;0;7056;1;0;0;0;0;0;#¡DIV/0!
51368;12;979;2016;4;22;800;614607;E;140;9037;8496;1;4800;2;-51.4676;-74.63459722;96;88.5
51387;12;979;2016;4;7;1700;621554;E;140;0;10620;1;0;0;0;0;0;#¡DIV/0!
51390;12;979;2016;5;29;600;622271;A;140;9360;11760;1;0;0;-50.46960333;-75.35821389;0;#¡DIV/0!
51391;12;979;2016;5;26;1800;616671;E;140;7928;2281;1;2000;1;-49.878925;-74.24135556;20;114.05
51392;12;979;2016;4;8;730;622219;E;140;9046;5947;1;2800;2;-51;-75.0167;56;106.1964286
51393;12;979;2016;4;13;700;614771;E;140;9742;9558;1;5600;2;-52.501;-74.167;112;85.33928571
51398;12;979;2016;6;16;500;615305;E;140;9812;4368;1;3500;1;-51.8517;-74.98529722;35;124.8
51406;12;979;2016;4;30;1700;613846;E;140;0;6372;1;0;0;0;0;0;#¡DIV/0!
51426;12;979;2016;3;26;1700;617758;E;140;0;6264;1;0;0;0;0;0;#¡DIV/0!
51428;12;979;2016;5;23;1700;613856;E;140;9855;2470;1;0;0;-49.9352;-75.0334;0;#¡DIV/0!
51429;12;979;2016;5;23;1700;617797;E;140;9855;1105;1;0;0;-49.9352;-75.0334;0;#¡DIV/0!
51439;12;979;2016;5;26;1700;614757;E;140;9855;1129;1;0;0;-49.9352;-75.0334;0;#¡DIV/0!
51443;12;979;2016;4;25;1100;613671;E;140;9841;6372;1;0;2;-52.4342;-74.5177;0;#¡DIV/0!
51445;12;979;2016;4;12;1200;614723;E;140;9545;13806;1;0;1;-52.95061333;-74.09543611;0;#¡DIV/0!
51446;12;979;2016;4;16;1230;617769;E;140;9736;2761;1;0;1;-52.6847;-74.08350278;0;#¡DIV/0!
51447;12;979;2016;4;28;2000;617992;A;140;9926;16992;1;0;0;-50.5845;-75.03340278;0;#¡DIV/0!
51453;12;979;2016;5;22;2000;622257;E;140;9841;9408;1;2500;1;-52.4342;-74.5177;25;376.32
51455;12;979;2016;5;29;1000;614829;E;140;9841;16464;1;0;1;-52.4342;-74.5177;0;#¡DIV/0!
51456;12;979;2016;5;2;1200;614937;E;140;9528;11760;1;0;1;-52.725615;-73.77488056;0;#¡DIV/0!
51457;12;979;2016;5;9;1700;617769;E;140;8780;3763;1;0;1;-52.4843;-74.501;0;#¡DIV/0!
51462;12;979;2016;6;30;1700;615201;E;140;0;6552;1;0;0;0;0;0;#¡DIV/0!
51466;12;979;2016;6;5;1200;613681;E;140;9840;12230;1;0;1;-49.9686;-75.21710278;0;#¡DIV/0!
51467;12;979;2016;4;23;1900;622259;E;140;9545;10620;1;7000;2;-52.95061333;-74.09543611;140;75.85714286
51481;12;979;2016;6;11;1700;614771;E;140;0;6552;1;0;0;0;0;0;#¡DIV/0!
51482;12;979;2016;6;16;1700;622262;E;140;0;7644;1;0;0;0;0;0;#¡DIV/0!
51483;12;979;2016;6;11;1700;621893;E;140;0;14196;1;0;0;0;0;0;#¡DIV/0!
51484;12;979;2016;4;6;1430;614861;E;140;9841;8496;1;4200;1;-52.4342;-74.5177;42;202.2857143
51490;12;979;2016;4;28;1700;621514;E;140;0;11682;1;0;0;0;0;0;#¡DIV/0!
51491;12;979;2016;6;7;1700;613571;E;140;0;9828;1;0;0;0;0;0;#¡DIV/0!
51492;12;979;2016;6;1;1700;615447;E;140;0;10920;1;0;0;0;0;0;#¡DIV/0!
51497;12;979;2016;6;26;1700;614607;E;140;0;6552;1;0;0;0;0;0;#¡DIV/0!
