"Year","Nominal CPUE","Standard CPUE","CI_low","CI upp"
1996,89.0106322127437,89.6204745001411,71.082143392486,112.993630556159
1997,98.643473922829,78.6058860425064,62.7256675157747,98.5064896913786
1998,84.0759455676348,74.602357603627,59.3886569036574,93.7133797965499
1999,81.1637399147246,65.1115904682251,52.1529623548252,81.2900940210853
2000,79.3409806009276,72.8870096957353,58.4201637400289,90.9363453006915
2001,81.3298237877747,87.0635456748221,69.9374222713295,108.383476818236
2002,88.827687911749,89.1404528227226,71.5937043789401,110.987696451385
2003,65.4501101272076,82.4842122323167,66.3144316465311,102.59675154649
2004,67.6306559730992,89.0962675720889,71.6049965754208,110.860209132419
2005,55.0145658730022,77.4237063418094,62.1031949111738,96.5237024001191
2006,73.9540584350037,97.7859015961487,78.4306553338756,121.917667400156
2007,88.2913473176484,112.283128690713,89.9820267232304,140.111324979972
2008,100.836920831401,134.097509159055,107.119956838283,167.869204706739
2009,124.823804645276,136.689690608166,109.429118627415,170.741314130215
2010,131.781590438959,155.915969593024,124.876362487749,194.670865565272
2011,152.537259263073,152.402151483524,121.034231472757,191.899560101184
2012,134.045187936243,175.885216341469,137.591283058692,224.836985598057
2013,129.90625075271,156.317476390459,124.180530116599,196.771212058271
2014,126.857370750949,143.87482718612,114.345176852261,181.030511891036
2015,98.6140353844872,108.331584420234,86.0225195311263,136.426278223016
2016,110.952138208782,116.631340176347,92.5679098611901,146.950163741721
2017,98.8029439817251,106.918389483772,100.012954569638,114.300612945536
2018,102.774805085408,107.77989888442,100.821673704733,115.218347173604
